model,run_time_utc,horizon_h,member_index,subarea,cumulative_mm,source_file
GEPS,2026-08-01T12:00:00+00:00,24,10,lower_incremental_05EA005_to_05EA002,5.139999866485596,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,10,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,11,basin_to_05EA002,18.94499969482422,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,11,lower_incremental_05EA005_to_05EA002,18.94499969482422,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,11,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,12,basin_to_05EA002,1.8600000143051147,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,12,lower_incremental_05EA005_to_05EA002,1.8600000143051147,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,12,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,13,basin_to_05EA002,0.3149999976158142,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,13,lower_incremental_05EA005_to_05EA002,0.3149999976158142,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,13,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,14,basin_to_05EA002,2.884999990463257,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,14,lower_incremental_05EA005_to_05EA002,2.884999990463257,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,14,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,15,basin_to_05EA002,1.1050000190734863,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,15,lower_incremental_05EA005_to_05EA002,1.1050000190734863,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,15,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,16,basin_to_05EA002,4.559999942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,16,lower_incremental_05EA005_to_05EA002,4.559999942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,16,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,17,basin_to_05EA002,10.170000076293945,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,17,lower_incremental_05EA005_to_05EA002,10.170000076293945,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,17,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,18,basin_to_05EA002,7.799999713897705,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,18,lower_incremental_05EA005_to_05EA002,7.799999713897705,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,18,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,19,basin_to_05EA002,1.4950000047683716,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,19,lower_incremental_05EA005_to_05EA002,1.4950000047683716,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,24,19,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P024_allmbrs.grib2
