accumulation_semantics,horizon_h,max_mm,mean_mm,member_count,min_mm,model,p10_mm,p25_mm,p50_mm,p75_mm,p90_mm,prob_ge_10mm,prob_ge_20mm,prob_ge_30mm,prob_ge_50mm,prob_ge_5mm,run_time_utc,source_file,subarea
cumulative_from_model_start,144,33.22500228881836,8.979762145451136,21,0.875,GEPS,1.287500023841858,2.6500000953674316,5.849999904632568,14.050000190734863,17.92500114440918,28.57142857142857,9.523809523809524,4.761904761904762,0.0,57.14285714285714,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P144_allmbrs.grib2,basin_to_05EA002
cumulative_from_model_start,144,33.22500228881836,8.979762145451136,21,0.875,GEPS,1.287500023841858,2.6500000953674316,5.849999904632568,14.050000190734863,17.92500114440918,28.57142857142857,9.523809523809524,4.761904761904762,0.0,57.14285714285714,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P144_allmbrs.grib2,lower_incremental_05EA005_to_05EA002
cumulative_from_model_start,144,33.22500228881836,8.979762145451136,21,0.875,GEPS,1.287500023841858,2.6500000953674316,5.849999904632568,14.050000190734863,17.92500114440918,28.57142857142857,9.523809523809524,4.761904761904762,0.0,57.14285714285714,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P144_allmbrs.grib2,atim_creek_big_lake_tributary
cumulative_from_model_start,168,69.9000015258789,17.936905054819015,21,1.350000023841858,GEPS,2.3500001430511475,9.199999809265137,14.787500381469727,21.274999618530273,30.950000762939453,66.66666666666666,28.57142857142857,19.047619047619047,4.761904761904762,76.19047619047619,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P168_allmbrs.grib2,basin_to_05EA002
cumulative_from_model_start,168,69.9000015258789,17.936905054819015,21,1.350000023841858,GEPS,2.3500001430511475,9.199999809265137,14.787500381469727,21.274999618530273,30.950000762939453,66.66666666666666,28.57142857142857,19.047619047619047,4.761904761904762,76.19047619047619,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P168_allmbrs.grib2,lower_incremental_05EA005_to_05EA002
cumulative_from_model_start,168,69.9000015258789,17.936905054819015,21,1.350000023841858,GEPS,2.3500001430511475,9.199999809265137,14.787500381469727,21.274999618530273,30.950000762939453,66.66666666666666,28.57142857142857,19.047619047619047,4.761904761904762,76.19047619047619,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P168_allmbrs.grib2,atim_creek_big_lake_tributary
cumulative_from_model_start,192,71.7750015258789,21.325595691090538,21,1.399999976158142,GEPS,2.450000047683716,9.850000381469727,14.787500381469727,29.950000762939453,41.57500076293945,71.42857142857143,38.095238095238095,23.809523809523807,9.523809523809524,80.95238095238095,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P192_allmbrs.grib2,basin_to_05EA002
cumulative_from_model_start,192,71.7750015258789,21.325595691090538,21,1.399999976158142,GEPS,2.450000047683716,9.850000381469727,14.787500381469727,29.950000762939453,41.57500076293945,71.42857142857143,38.095238095238095,23.809523809523807,9.523809523809524,80.95238095238095,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P192_allmbrs.grib2,lower_incremental_05EA005_to_05EA002
cumulative_from_model_start,192,71.7750015258789,21.325595691090538,21,1.399999976158142,GEPS,2.450000047683716,9.850000381469727,14.787500381469727,29.950000762939453,41.57500076293945,71.42857142857143,38.095238095238095,23.809523809523807,9.523809523809524,80.95238095238095,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P192_allmbrs.grib2,atim_creek_big_lake_tributary
cumulative_from_model_start,240,71.7750015258789,29.92797675586882,21,3.9750001430511475,GEPS,5.900000095367432,14.77500057220459,29.200000762939453,38.45000076293945,57.29999923706055,85.71428571428571,61.904761904761905,42.857142857142854,14.285714285714285,95.23809523809523,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P240_allmbrs.grib2,basin_to_05EA002
cumulative_from_model_start,240,71.7750015258789,29.92797675586882,21,3.9750001430511475,GEPS,5.900000095367432,14.77500057220459,29.200000762939453,38.45000076293945,57.29999923706055,85.71428571428571,61.904761904761905,42.857142857142854,14.285714285714285,95.23809523809523,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P240_allmbrs.grib2,lower_incremental_05EA005_to_05EA002
cumulative_from_model_start,240,71.7750015258789,29.92797675586882,21,3.9750001430511475,GEPS,5.900000095367432,14.77500057220459,29.200000762939453,38.45000076293945,57.29999923706055,85.71428571428571,61.904761904761905,42.857142857142854,14.285714285714285,95.23809523809523,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P240_allmbrs.grib2,atim_creek_big_lake_tributary
cumulative_from_model_start,288,117.92500305175781,40.225001221611386,21,5.900000095367432,GEPS,11.225000381469727,19.75,30.200000762939453,47.04999923706055,79.32500457763672,90.47619047619048,71.42857142857143,52.38095238095239,23.809523809523807,100.0,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P288_allmbrs.grib2,basin_to_05EA002
cumulative_from_model_start,288,117.92500305175781,40.225001221611386,21,5.900000095367432,GEPS,11.225000381469727,19.75,30.200000762939453,47.04999923706055,79.32500457763672,90.47619047619048,71.42857142857143,52.38095238095239,23.809523809523807,100.0,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P288_allmbrs.grib2,lower_incremental_05EA005_to_05EA002
cumulative_from_model_start,288,117.92500305175781,40.225001221611386,21,5.900000095367432,GEPS,11.225000381469727,19.75,30.200000762939453,47.04999923706055,79.32500457763672,90.47619047619048,71.42857142857143,52.38095238095239,23.809523809523807,100.0,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P288_allmbrs.grib2,atim_creek_big_lake_tributary
cumulative_from_model_start,336,118.0999984741211,44.29166739327567,21,9.175000190734863,GEPS,17.25,24.375,33.85000228881836,53.625,93.5250015258789,95.23809523809523,85.71428571428571,61.904761904761905,28.57142857142857,100.0,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P336_allmbrs.grib2,basin_to_05EA002
cumulative_from_model_start,336,118.0999984741211,44.29166739327567,21,9.175000190734863,GEPS,17.25,24.375,33.85000228881836,53.625,93.5250015258789,95.23809523809523,85.71428571428571,61.904761904761905,28.57142857142857,100.0,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P336_allmbrs.grib2,lower_incremental_05EA005_to_05EA002
cumulative_from_model_start,336,118.0999984741211,44.29166739327567,21,9.175000190734863,GEPS,17.25,24.375,33.85000228881836,53.625,93.5250015258789,95.23809523809523,85.71428571428571,61.904761904761905,28.57142857142857,100.0,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P336_allmbrs.grib2,atim_creek_big_lake_tributary
cumulative_from_model_start,384,135.6999969482422,47.20000085376558,21,10.75,GEPS,21.200000762939453,24.55000114440918,35.45000076293945,53.67499923706055,93.5250015258789,100.0,90.47619047619048,66.66666666666666,28.57142857142857,100.0,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P384_allmbrs.grib2,basin_to_05EA002
cumulative_from_model_start,384,135.6999969482422,47.20000085376558,21,10.75,GEPS,21.200000762939453,24.55000114440918,35.45000076293945,53.67499923706055,93.5250015258789,100.0,90.47619047619048,66.66666666666666,28.57142857142857,100.0,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P384_allmbrs.grib2,lower_incremental_05EA005_to_05EA002
cumulative_from_model_start,384,135.6999969482422,47.20000085376558,21,10.75,GEPS,21.200000762939453,24.55000114440918,35.45000076293945,53.67499923706055,93.5250015258789,100.0,90.47619047619048,66.66666666666666,28.57142857142857,100.0,2026-08-04T00:00:00+00:00,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080400_P384_allmbrs.grib2,atim_creek_big_lake_tributary
