member_index,crossing_days,crossing_date_utc,rain_free_days_to_project_threshold,short_range_delay_days,total_applied_delay_days,model_delay_rmse_days,basin_rain_48h_mm,basin_rain_120h_mm,basin_rain_240h_mm,basin_rain_384h_mm
1,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,17.760000228881836,32.7599983215332,33.5,54.5
2,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,16.40999984741211,21.59000015258789,75.375,75.4000015258789
3,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,19.209999084472656,25.85999870300293,81.3499984741211,91.0999984741211
4,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,11.319999694824219,15.34999942779541,15.550000190734863,28.899999618530273
5,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,10.6899995803833,19.029998779296875,40.70000076293945,40.70000076293945
6,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,28.404998779296875,28.869998931884766,55.712501525878906,107.20000457763672
7,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,19.10999870300293,47.2599983215332,52.42499923706055,54.650001525878906
8,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,17.139999389648438,17.575000762939453,37.650001525878906,37.650001525878906
9,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,17.3799991607666,39.36000061035156,42.75,68.4000015258789
10,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,8.15999984741211,17.139999389648438,19.850000381469727,34.10000228881836
11,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,6.399999618530273,9.949999809265137,11.5,13.65000057220459
12,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,38.21999740600586,39.06999969482422,40.72500228881836,51.85000228881836
13,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,20.94999885559082,36.32999801635742,57.70000076293945,77.9749984741211
14,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,32.709999084472656,36.81999969482422,87.4749984741211,113.0999984741211
15,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,6.71999979019165,10.510000228881836,21.575000762939453,25.0
16,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,18.69999885559082,26.209999084472656,29.637500762939453,41.775001525878906
17,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,18.979999542236328,28.760000228881836,36.38750076293945,36.72500228881836
18,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,34.26499938964844,40.36000061035156,63.60000228881836,65.70000457763672
19,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,6.210000038146973,17.31999969482422,40.75,57.5
20,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,15.549999237060547,19.010000228881836,23.875,44.79999923706055
21,1.8756454727808907,2026-08-11,0.75,1.1256454727808907,1.1256454727808907,0.0,6.679999828338623,23.939998626708984,57.45000076293945,63.20000076293945
