station,period_end_utc,period_hours,precip_mm,n_6h_periods,mean_cfia,area_km2
05EA002,2026-08-04T18:00:00+00:00,24,0.000385558043889,4,0.8997171336206895,2590.88335366
05EA005,2026-08-04T18:00:00+00:00,24,0.000418167692627,4,0.89601846782345,1889.49091781
05EA010,2026-08-04T18:00:00+00:00,24,0.0,4,0.88671875,121.243196585
05EA011,2026-08-04T18:00:00+00:00,24,0.00038525000254,4,0.8969029017857145,97.0690958164
05EA012,2026-08-04T18:00:00+00:00,24,0.000170871427404,4,0.9125258501838235,287.073915676
