date_utc,stage_m,discharge_m3s,stage_change_6h_m,stage_change_24h_m,q_change_6h_m3s,q_change_24h_m3s,stage_rate_m_per_day,q_rate_m3s_per_day,limb,season,year,rain_24h_mm,rain_24h_coverage,rain_24h_max6h_mm,rain_72h_mm,rain_72h_coverage,rain_72h_max6h_mm,rain_168h_mm,rain_168h_coverage,rain_168h_max6h_mm,complete_168h_coverage
2026-08-04 01:00:00+00:00,1.972,9.58,-0.018000000000000016,-0.05549999999999988,-0.20999999999999908,-0.6199999999999992,-0.07200000000000006,-0.8399999999999963,falling,summer,2026,3.8013084986762675,1.0,3.8011727843965804,12.424422607732206,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 02:00:00+00:00,1.97,9.56,-0.014000000000000012,-0.06549999999999989,-0.16000000000000014,-0.7400000000000002,-0.05600000000000005,-0.6400000000000006,falling,summer,2026,3.8013084986762675,1.0,3.8011727843965804,12.424422607732206,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 03:00:00+00:00,1.968,9.54,-0.017000000000000126,-0.06949999999999967,-0.19000000000000128,-0.7600000000000016,-0.0680000000000005,-0.7600000000000051,falling,summer,2026,3.8013084986762675,1.0,3.8011727843965804,12.424422607732206,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 04:00:00+00:00,1.966,9.52,-0.017000000000000126,-0.06900000000000017,-0.19000000000000128,-0.7800000000000011,-0.0680000000000005,-0.7600000000000051,falling,summer,2026,3.8013084986762675,1.0,3.8011727843965804,12.424422607732206,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 05:00:00+00:00,1.9645000000000001,9.504999999999999,-0.014499999999999957,-0.06550000000000011,-0.15500000000000114,-0.745000000000001,-0.05799999999999983,-0.6200000000000045,falling,summer,2026,3.8013084986762675,1.0,3.8011727843965804,12.424422607732206,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 06:00:00+00:00,1.963,9.48,-0.010999999999999899,-0.06299999999999972,-0.129999999999999,-0.7199999999999989,-0.043999999999999595,-0.519999999999996,falling,summer,2026,0.0001357142796872982,1.0,0.0001357142796872982,12.424422607732204,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 07:00:00+00:00,1.963,9.48,-0.008999999999999897,-0.05750000000000011,-0.09999999999999964,-0.6199999999999992,-0.03599999999999959,-0.3999999999999986,falling,summer,2026,0.0001357142796872982,1.0,0.0001357142796872982,12.424422607732204,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 08:00:00+00:00,1.963,9.48,-0.006999999999999895,-0.053999999999999826,-0.08000000000000007,-0.6199999999999992,-0.02799999999999958,-0.3200000000000003,falling,summer,2026,0.0001357142796872982,1.0,0.0001357142796872982,12.424422607732204,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 09:00:00+00:00,1.961,9.46,-0.006999999999999895,-0.051999999999999824,-0.0799999999999983,-0.5399999999999991,-0.02799999999999958,-0.3199999999999932,falling,summer,2026,0.0001357142796872982,1.0,0.0001357142796872982,12.424422607732204,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 10:00:00+00:00,1.9585,9.434999999999999,-0.007500000000000062,-0.05250000000000021,-0.08500000000000085,-0.5650000000000013,-0.03000000000000025,-0.3400000000000034,falling,summer,2026,0.0001357142796872982,1.0,0.0001357142796872982,12.424422607732204,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 11:00:00+00:00,1.958,9.43,-0.006500000000000172,-0.050999999999999934,-0.07499999999999929,-0.5700000000000003,-0.02600000000000069,-0.29999999999999716,falling,summer,2026,0.0001357142796872982,1.0,0.0001357142796872982,12.424422607732204,1.0,3.8011727843965804,18.341602234575905,1.0,5.901128436837878,True
2026-08-04 12:00:00+00:00,1.957,9.42,-0.006000000000000005,-0.04799999999999982,-0.0600000000000005,-0.5400000000000009,-0.02400000000000002,-0.240000000000002,falling,summer,2026,0.0,1.0,0.0,12.424422607732204,1.0,3.8011727843965804,18.34160223457591,1.0,5.901128436837878,True
2026-08-04 13:00:00+00:00,1.956,9.41,-0.007000000000000117,-0.04599999999999982,-0.07000000000000028,-0.5099999999999998,-0.02800000000000047,-0.28000000000000114,falling,summer,2026,0.0,1.0,0.0,12.424422607732204,1.0,3.8011727843965804,18.34160223457591,1.0,5.901128436837878,True
2026-08-04 14:00:00+00:00,1.955,9.4,-0.008000000000000007,-0.04800000000000004,-0.08000000000000007,-0.5399999999999991,-0.03200000000000003,-0.3200000000000003,falling,summer,2026,0.0,1.0,0.0,12.424422607732204,1.0,3.8011727843965804,18.34160223457591,1.0,5.901128436837878,True
2026-08-04 15:00:00+00:00,1.955,9.4,-0.006000000000000005,-0.04200000000000004,-0.0600000000000005,-0.46999999999999886,-0.02400000000000002,-0.240000000000002,falling,summer,2026,0.0,1.0,0.0,12.424422607732204,1.0,3.8011727843965804,18.34160223457591,1.0,5.901128436837878,True
