model,run_time_utc,horizon_h,member_index,subarea,cumulative_mm,source_file
GEPS,2026-07-29T12:00:00+00:00,24,10,lower_incremental_05EA005_to_05EA002,0.004999999888241291,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,10,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,11,basin_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,11,lower_incremental_05EA005_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,11,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,12,basin_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,12,lower_incremental_05EA005_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,12,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,13,basin_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,13,lower_incremental_05EA005_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,13,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,14,basin_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,14,lower_incremental_05EA005_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,14,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,15,basin_to_05EA002,0.14999999105930328,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,15,lower_incremental_05EA005_to_05EA002,0.14999999105930328,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,15,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,16,basin_to_05EA002,0.44999998807907104,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,16,lower_incremental_05EA005_to_05EA002,0.44999998807907104,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,16,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,17,basin_to_05EA002,0.03999999910593033,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,17,lower_incremental_05EA005_to_05EA002,0.03999999910593033,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,17,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,18,basin_to_05EA002,0.02499999850988388,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,18,lower_incremental_05EA005_to_05EA002,0.02499999850988388,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,18,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,19,basin_to_05EA002,0.11749999970197678,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,19,lower_incremental_05EA005_to_05EA002,0.11749999970197678,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,19,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,20,basin_to_05EA002,0.28999999165534973,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,20,lower_incremental_05EA005_to_05EA002,0.28999999165534973,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,20,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,21,basin_to_05EA002,0.05999999865889549,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,21,lower_incremental_05EA005_to_05EA002,0.05999999865889549,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,24,21,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P024_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,1,basin_to_05EA002,0.17999999225139618,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,1,lower_incremental_05EA005_to_05EA002,0.17999999225139618,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,1,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,2,basin_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,2,lower_incremental_05EA005_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
