event_id,rain_start_utc,rain_end_utc,rain_duration_h,analysis_end_utc,truncation_reason,response_censored,pre_stage_m,pre_discharge_m3s,antecedent_24h_mm,antecedent_72h_mm,antecedent_168h_mm,response_onset_utc,lag_to_onset_h,departure_peak_utc,q_departure_peak_m3s,stage_departure_peak_m,estimated_recession_days_lost,recovery_utc,recovery_duration_h,spatial_periods_requested,spatial_periods_available,spatial_coverage_fraction,basin_mean_mm,basin_max_mm,basin_pct_gt_5mm,basin_pct_gt_10mm,basin_pct_gt_20mm,basin_pct_gt_30mm,basin_pct_gt_50mm,lower_mean_mm,lower_max_mm,lower_pct_gt_5mm,lower_pct_gt_10mm,lower_pct_gt_20mm,lower_pct_gt_30mm,lower_pct_gt_50mm,upper_mean_mm,upper_max_mm,upper_pct_gt_5mm,upper_pct_gt_10mm,upper_pct_gt_20mm,upper_pct_gt_30mm,upper_pct_gt_50mm,middle_mean_mm,middle_max_mm,middle_pct_gt_5mm,middle_pct_gt_10mm,middle_pct_gt_20mm,middle_pct_gt_30mm,middle_pct_gt_50mm,atim_mean_mm,atim_max_mm,atim_pct_gt_5mm,atim_pct_gt_10mm,atim_pct_gt_20mm,atim_pct_gt_30mm,atim_pct_gt_50mm,carrot_mean_mm,carrot_max_mm,carrot_pct_gt_5mm,carrot_pct_gt_10mm,carrot_pct_gt_20mm,carrot_pct_gt_30mm,carrot_pct_gt_50mm,local_mean_mm,local_max_mm,local_pct_gt_5mm,local_pct_gt_10mm,local_pct_gt_20mm,local_pct_gt_30mm,local_pct_gt_50mm,basin_mm,lower_ratio,upper_ratio,duration_h,storm_type,isolated_event,response_quality,eligible_for_point_training,eligible_for_recovery_training
11,2025-05-26T18:00:00+00:00,2025-05-27T06:00:00+00:00,12.0,2025-05-30T00:00:00+00:00,next_rain_event,True,0.609,0.514,0.0004976190310636,0.04041368869158209,12.807260965437134,2025-05-26T23:00:00+00:00,5.0,2025-05-27T00:00:00+00:00,1.2690910863895244,0.2561692972055406,8.382007973723763,,,2,2,1.0,4.51417311190051,7.1430747509002686,45.23809523809524,0.0,0.0,0.0,0.0,5.816522366553545,7.1430747509002686,70.0,0.0,0.0,0.0,0.0,2.466581210416431,3.8252247981727123,0.0,0.0,0.0,0.0,0.0,5.09155362546444,7.1067997217178345,60.0,0.0,0.0,0.0,0.0,4.903693655505776,5.814099699258804,25.0,0.0,0.0,0.0,0.0,7.1430747509002686,7.1430747509002686,100.0,0.0,0.0,0.0,0.0,6.281474858522415,7.113924741744995,100.0,0.0,0.0,0.0,0.0,4.51417311190051,1.2885022843319214,0.5464082012969097,12.0,tributary_localized_carrot_creek,True,censored_lower_bound,False,False
12,2025-05-30T00:00:00+00:00,2025-05-30T06:00:00+00:00,6.0,2025-06-12T18:00:00+00:00,next_rain_event,True,0.642,0.586,0.0509488075123434,4.141496332064326,4.687632033311058,2025-05-30T05:00:00+00:00,5.0,2025-06-12T18:00:00+00:00,1.3363900612304886,0.23258133314461843,15.501926076880025,,,1,1,1.0,2.8220760964211964,3.898599863052368,0.0,0.0,0.0,0.0,0.0,2.173039901256561,2.982149839401245,0.0,0.0,0.0,0.0,0.0,3.5804832379023233,3.898599863052368,0.0,0.0,0.0,0.0,0.0,2.691549909114838,3.857599973678589,0.0,0.0,0.0,0.0,0.0,2.5830248594284058,2.982149839401245,0.0,0.0,0.0,0.0,0.0,2.355599880218506,2.355599880218506,0.0,0.0,0.0,0.0,0.0,1.8085399389266967,2.0007998943328857,0.0,0.0,0.0,0.0,0.0,2.8220760964211964,0.7700146371007828,1.2687408544521168,6.0,upper_lake_chain_concentrated,False,antecedent_rain_overlap,False,False
13,2025-06-12T18:00:00+00:00,2025-06-15T00:00:00+00:00,54.0,2025-06-19T00:00:00+00:00,next_rain_event,True,0.611,0.302,0.2425380885196361,0.26011427853483743,0.40878332351816676,2025-06-13T10:00:00+00:00,16.0,2025-06-14T18:00:00+00:00,2.3489617118648605,0.4593767659278958,17.79705676360003,,,9,9,1.0,24.931818467520532,33.311849147081375,100.0,100.0,80.95238095238095,16.666666666666664,0.0,26.34938941299915,28.589299619197845,100.0,100.0,100.0,0.0,0.0,19.00973703339696,27.30939906835556,100.0,100.0,33.33333333333333,0.0,0.0,27.776281855255366,33.311849147081375,100.0,100.0,100.0,35.0,0.0,24.500062063336372,28.189749598503113,100.0,100.0,100.0,0.0,0.0,28.317299127578735,28.317299127578735,100.0,100.0,100.0,0.0,0.0,27.43526934981346,28.589299619197845,100.0,100.0,100.0,0.0,0.0,24.931818467520532,1.0568579041807693,0.7624689333496288,54.0,widespread_basin,True,censored_lower_bound,False,False
14,2025-06-19T00:00:00+00:00,2025-06-19T18:00:00+00:00,18.0,2025-06-20T18:00:00+00:00,next_rain_event,True,0.721,0.577,0.2447297538913385,1.910376139582478,27.847592199056333,2025-06-19T15:00:00+00:00,15.0,2025-06-19T17:00:00+00:00,1.8267639695298503,0.33377746044942214,12.091741732728876,,,3,3,1.0,24.90016721047106,37.1627984046936,100.0,97.61904761904762,73.80952380952381,19.047619047619047,0.0,26.87749927341938,33.46254849433899,100.0,100.0,80.0,40.0,0.0,29.787303229173023,37.1627984046936,100.0,100.0,100.0,33.33333333333333,0.0,20.979219567775726,29.45324993133545,100.0,95.0,55.00000000000001,0.0,0.0,31.587374478578568,33.362399101257324,100.0,100.0,100.0,75.0,0.0,12.061999648809433,12.061999648809433,100.0,100.0,0.0,0.0,0.0,26.07269903421402,33.46254849433899,100.0,100.0,80.0,20.0,0.0,24.90016721047106,1.0794103929598036,1.1962692048367778,18.0,widespread_basin,True,censored_lower_bound,False,False
15,2025-06-20T18:00:00+00:00,2025-06-21T06:00:00+00:00,12.0,2025-06-22T18:00:00+00:00,next_rain_event,True,0.813,0.934,0.1814964211523708,25.327433861650725,47.82585476542175,2025-06-21T03:00:00+00:00,9.0,2025-06-21T03:00:00+00:00,0.8447333383241754,0.15338856883747098,5.015316186578461,,,2,2,1.0,5.363728457973117,8.285599946975708,59.523809523809526,0.0,0.0,0.0,0.0,5.622479891777038,8.285599946975708,50.0,0.0,0.0,0.0,0.0,4.913616508245468,5.601799726486206,50.0,0.0,0.0,0.0,0.0,5.504419910907745,7.8582998514175415,70.0,0.0,0.0,0.0,0.0,5.817399799823761,6.4696996212005615,75.0,0.0,0.0,0.0,0.0,8.285599946975708,8.285599946975708,100.0,0.0,0.0,0.0,0.0,4.933919954299927,6.664299964904785,20.0,0.0,0.0,0.0,0.0,5.363728457973117,1.048240964439445,0.9160822638106216,12.0,tributary_localized_carrot_creek,False,antecedent_rain_overlap,False,False
16,2025-06-22T18:00:00+00:00,2025-06-23T12:00:00+00:00,18.0,2025-07-06T00:00:00+00:00,next_rain_event,True,0.783,0.763,0.007234523674317799,5.583607020941729,32.98210987932925,2025-06-24T21:00:00+00:00,51.0,2025-07-05T23:00:00+00:00,1.285073635428414,0.23448560890672143,13.882549917094108,,,3,3,1.0,2.183932091719249,3.8689999282360077,0.0,0.0,0.0,0.0,0.0,2.2305499443318695,2.5730499625205994,0.0,0.0,0.0,0.0,0.0,2.2834791305164495,3.4388999938964844,0.0,0.0,0.0,0.0,0.0,2.1008949421346186,3.8689999282360077,0.0,0.0,0.0,0.0,0.0,2.368487447500229,2.5730499625205994,0.0,0.0,0.0,0.0,0.0,1.1148500009439886,1.1148500009439886,0.0,0.0,0.0,0.0,0.0,2.343339930474758,2.5596498399972916,0.0,0.0,0.0,0.0,0.0,2.183932091719249,1.021345834327624,1.0455815632613532,18.0,mixed_or_weak,False,antecedent_rain_overlap,False,False
17,2025-07-06T00:00:00+00:00,2025-07-07T00:00:00+00:00,24.0,2025-07-19T06:00:00+00:00,next_rain_event,True,0.737,0.394,0.0149857138860083,0.7194904609738537,1.9453761591368146,2025-07-06T07:00:00+00:00,7.0,2025-07-19T06:00:00+00:00,1.2030866989427478,0.20500729194170175,14.422890080009351,,,4,4,1.0,13.87344560550437,17.86622428894043,100.0,88.09523809523809,0.0,0.0,0.0,16.03575469851494,17.86622428894043,100.0,100.0,0.0,0.0,0.0,10.780681014060974,14.2736496925354,100.0,58.333333333333336,0.0,0.0,0.0,14.647949813865125,16.957399785518646,100.0,100.0,0.0,0.0,0.0,16.433999583125114,17.86622428894043,100.0,100.0,0.0,0.0,0.0,13.852049946784973,13.852049946784973,100.0,100.0,0.0,0.0,0.0,16.15389974117279,17.86622428894043,100.0,100.0,0.0,0.0,0.0,13.87344560550437,1.1558595574954111,0.7770730733094651,24.0,widespread_basin,True,censored_lower_bound,False,False
18,2025-07-19T06:00:00+00:00,2025-07-22T00:00:00+00:00,66.0,2025-07-24T18:00:00+00:00,next_rain_event,True,0.67,0.104,0.0147440472196432,0.04523809469122,1.7686523337490916,2025-07-19T18:00:00+00:00,12.0,2025-07-24T18:00:00+00:00,0.6401842666226246,0.12219427139295769,5.9985983441093635,,,11,11,1.0,7.30857719364576,11.976149745285511,73.80952380952381,21.428571428571427,0.0,0.0,0.0,8.427654792927205,11.167399648576975,100.0,20.0,0.0,0.0,0.0,8.631758113236478,11.976149745285511,100.0,41.66666666666667,0.0,0.0,0.0,5.955129842250608,11.10464964946732,45.0,10.0,0.0,0.0,0.0,7.141799826640636,7.462649843655527,100.0,0.0,0.0,0.0,0.0,10.99299977440387,10.99299977440387,100.0,100.0,0.0,0.0,0.0,8.943269769661129,11.167399648576975,100.0,20.0,0.0,0.0,0.0,7.30857719364576,1.1531183935847864,1.1810449400111858,66.0,tributary_localized_carrot_creek,True,censored_lower_bound,False,False
19,2025-07-24T18:00:00+00:00,2025-07-25T12:00:00+00:00,18.0,2025-08-03T06:00:00+00:00,next_rain_event,True,0.678,0.081,0.0500285702402746,0.7186987933819178,7.4740140953869,2025-07-25T10:00:00+00:00,16.0,2025-08-03T06:00:00+00:00,1.0128294893459282,0.190594962598796,11.364203801468731,,,3,3,1.0,3.148299922518033,6.628049798309803,21.428571428571427,0.0,0.0,0.0,0.0,5.2909799121785905,6.628049798309803,70.0,0.0,0.0,0.0,0.0,1.7781874670957525,5.492149844765663,8.333333333333332,0.0,0.0,0.0,0.0,2.8990274009411223,5.704899810254574,5.0,0.0,0.0,0.0,0.0,5.415899887681007,6.628049798309803,75.0,0.0,0.0,0.0,0.0,4.551950105000287,4.551950105000287,0.0,0.0,0.0,0.0,0.0,5.338849893212318,5.848899696022272,80.0,0.0,0.0,0.0,0.0,3.148299922518033,1.6805831853360487,0.5648087891427909,18.0,lower_basin_concentrated,True,censored_lower_bound,False,False
20,2025-08-03T06:00:00+00:00,2025-08-04T12:00:00+00:00,30.0,2025-08-07T00:00:00+00:00,next_rain_event,True,0.676,0.046,0.2191285675591122,0.2226261865940785,0.768833316114198,2025-08-03T17:00:00+00:00,11.0,2025-08-07T00:00:00+00:00,0.49132720482013487,0.11440718173029296,4.348964003787783,,,5,5,1.0,11.493055726154818,18.93999974709004,97.61904761904762,61.904761904761905,0.0,0.0,0.0,9.732334880379494,11.857950178906322,100.0,50.0,0.0,0.0,0.0,11.269728900825916,18.516499219462276,91.66666666666666,58.333333333333336,0.0,0.0,0.0,12.507412244239822,18.93999974709004,100.0,70.0,0.0,0.0,0.0,9.336212378460914,11.857950178906322,100.0,25.0,0.0,0.0,0.0,6.874999977997504,6.874999977997504,100.0,0.0,0.0,0.0,0.0,10.620699862390756,11.857950178906322,100.0,80.0,0.0,0.0,0.0,11.493055726154818,0.8468013304966023,0.9805685423746205,30.0,widespread_basin,True,censored_lower_bound,False,False
